id,name_en,name_ru
1,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",
2,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",
3,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",
4,"George Weston Bakeries, Thomas English Muffins",
5,"Waffles, buttermilk, frozen, ready-to-heat",
6,"Waffle, buttermilk, frozen, ready-to-heat, toasted",
7,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",
8,"Waffle, plain, frozen, ready-to-heat, microwave",
9,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",
10,"Pie Crust, Cookie-type, Chocolate, Ready Crust",
11,"Pie, Dutch Apple, Commercially Prepared",
12,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",
13,"Waffles, chocolate chip, frozen, ready-to-heat",
14,"Tostada shells, corn",
15,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",
16,"Bread, pound cake type, pan de torta salvadoran",
17,"Pastry, Pastelitos de Guava (guava pastries)",
18,"Crackers, snack, Goya Crackers",
19,"Crackers, cream, Gamesa Sabrosas",
20,"Crackers, cream, La Moderna Rikis Cream Crackers",
21,"Bread, white wheat",
22,"Bagels, wheat",
23,"Cream puff, eclair, custard or cream filled, iced",
24,"Tortillas, ready-to-bake or -fry, flour, shelf stable",
25,"Snacks, beef jerky, chopped and formed",
26,"Snacks, corn-based, extruded, chips, plain",
27,"Snacks, corn-based, extruded, chips, barbecue-flavor",
28,"Snacks, corn-based, extruded, cones, plain",
29,"Snacks, fruit leather, pieces",
30,"Snacks, fruit leather, rolls",
31,"Snacks, granola bars, hard, plain",
32,"Snacks, granola bars, hard, almond",
33,"Snacks, granola bars, soft, uncoated, raisin",
34,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",
35,"Candies, honey-combed, with peanut butter",
36,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",
37,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",
38,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",
39,"Snacks, popcorn, cakes",
40,"Snacks, popcorn, caramel-coated, with peanuts",
41,"Snacks, popcorn, caramel-coated, without peanuts",
42,"Snacks, potato chips, made from dried potatoes, reduced fat",
43,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",
44,"Snacks, pretzels, hard, plain, salted",
45,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",
46,"Snacks, rice cakes, brown rice, sesame seed",
47,"Snacks, tortilla chips, plain, white corn, salted",
48,"Snacks, tortilla chips, nacho cheese",
49,"Snacks, tortilla chips, ranch-flavor",
50,"Snacks, trail mix, regular",
51,"Candies, ALMOND JOY Candy Bar",
52,"Candies, TWIZZLERS CHERRY BITES",
53,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",
54,"Candies, NESTLE, BUTTERFINGER Bar",
55,"Candies, caramels, chocolate-flavor roll",
56,"Baking chocolate, unsweetened, liquid",
57,"Baking chocolate, unsweetened, squares",
58,"Candies, confectioner's coating, yogurt",
59,"Candies, confectioner's coating, peanut butter",
60,"Candies, white chocolate",
61,"Ice creams, vanilla, light",
62,"Ice creams, vanilla, rich",
63,"Desserts, flan, caramel custard, prepared-from-recipe",
64,"Ice creams, vanilla",
65,"Ice creams, vanilla, light, soft-serve",
66,"Sherbet, orange",
67,"Candies, fudge, peanut butter, prepared-from-recipe",
68,"Candies, fudge, vanilla, prepared-from-recipe",
69,"Candies, fudge, vanilla with nuts",
70,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",
71,"Candies, NESTLE, BABY RUTH Bar",
72,"Candies, TWIZZLERS Strawberry Twists Candy",
73,"Syrups, table blends, pancake, with butter",
74,"Ice creams, chocolate, light",
75,"Candies, NESTLE, CHUNKY Bar",
76,"Candies, milk chocolate",
77,"Puddings, banana, dry mix, instant, prepared with 2% milk",
78,"Puddings, banana, dry mix, regular, prepared with 2% milk",
79,"Andrea's, Gluten Free Soft Dinner Roll",
80,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",
81,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",
82,"Glutino, Gluten Free Cookies, Vanilla Creme",
83,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",
84,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",
85,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",
86,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",
87,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",
88,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",
89,"Udi's, Gluten Free, Whole Grain Dinner Rolls",
90,"Van's, Gluten Free, Totally Original Pancakes",
91,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",
92,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",
93,"Potatoes, hash brown, refrigerated, unprepared",
94,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",
95,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",
96,"Moose, meat, raw (Alaska Native)",
97,"Mashu roots, raw (Alaska Native)",
98,"Moose, liver, braised (Alaska Native)",
99,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",
100,"Oil, bearded seal (Oogruk) (Alaska Native)",
